Time,Average Power
1/1/18,16.77043314
1/2/18,18.44074991
1/3/18,19.69447751
1/4/18,20.96956303
1/5/18,22.25461534
1/6/18,23.50191362
1/7/18,24.82861711
1/8/18,26.34173124
1/9/18,27.61417129
1/10/18,28.91365225
1/11/18,30.25796398
1/12/18,31.63508231
1/13/18,32.91694964
1/14/18,34.34395947
1/15/18,35.72973894
1/16/18,37.12031298
1/17/18,38.51310625
1/18/18,39.93295841
1/19/18,41.40564786
1/20/18,42.93133647
1/21/18,44.41138861
1/22/18,46.0683288
1/23/18,47.85270435
1/24/18,49.58543315
1/25/18,51.24430123
1/26/18,53.08266865
1/27/18,55.07602308
1/28/18,57.06332765
1/29/18,59.0549556
1/30/18,61.23637339
1/31/18,63.51758857
