Time (Interval beginning),Average Power (kW)
2017-01-01 00:00:00,12.355997
2017-01-01 00:15:00,12.324753
2017-01-01 00:30:00,12.353679
2017-01-01 00:45:00,12.306406
2017-01-01 01:00:00,12.216444
2017-01-01 01:15:00,12.225667
2017-01-01 01:30:00,12.221158
2017-01-01 01:45:00,12.198791
2017-01-01 02:00:00,12.194189
2017-01-01 02:15:00,12.200134
2017-01-01 02:30:00,12.201519
2017-01-01 02:45:00,12.186566
2017-01-01 03:00:00,12.229851
2017-01-01 03:15:00,12.1981
2017-01-01 03:30:00,12.216727
2017-01-01 03:45:00,12.216565
2017-01-01 04:00:00,12.219317
2017-01-01 04:15:00,12.209653
2017-01-01 04:30:00,12.228138
2017-01-01 04:45:00,12.196105
2017-01-01 05:00:00,12.235819
2017-01-01 05:15:00,12.212292
2017-01-01 05:30:00,12.174909
2017-01-01 05:45:00,12.138968
2017-01-01 06:00:00,12.194553
2017-01-01 06:15:00,12.198718
2017-01-01 06:30:00,12.235439
2017-01-01 06:45:00,12.264227
2017-01-01 07:00:00,12.243551
2017-01-01 07:15:00,12.224849
2017-01-01 07:30:00,12.218075
2017-01-01 07:45:00,12.231588
2017-01-01 08:00:00,12.185314
2017-01-01 08:15:00,12.195819
2017-01-01 08:30:00,12.195502
2017-01-01 08:45:00,12.205917
2017-01-01 09:00:00,12.209082
2017-01-01 09:15:00,12.202537
2017-01-01 09:30:00,12.364792
2017-01-01 09:45:00,12.234347
2017-01-01 10:00:00,12.228929
2017-01-01 10:15:00,12.238983
2017-01-01 10:30:00,12.215285
2017-01-01 10:45:00,12.204056
2017-01-01 11:00:00,12.132
2017-01-01 11:15:00,12.154844
2017-01-01 11:30:00,12.200763
2017-01-01 11:45:00,12.17238
2017-01-01 12:00:00,12.121766
2017-01-01 12:15:00,12.171727
2017-01-01 12:30:00,12.195848
2017-01-01 12:45:00,12.22889
2017-01-01 13:00:00,12.219805
2017-01-01 13:15:00,12.15194
2017-01-01 13:30:00,12.164916
2017-01-01 13:45:00,12.161019
2017-01-01 14:00:00,12.193691
2017-01-01 14:15:00,12.212238
2017-01-01 14:30:00,12.191215
2017-01-01 14:45:00,12.18665
2017-01-01 15:00:00,12.232708
2017-01-01 15:15:00,12.217627
2017-01-01 15:30:00,12.231292
2017-01-01 15:45:00,12.504167
2017-01-01 16:00:00,12.794013
2017-01-01 16:15:00,12.8421
2017-01-01 16:30:00,12.846269
2017-01-01 16:45:00,12.809003
2017-01-01 17:00:00,12.853929
2017-01-01 17:15:00,12.857479
2017-01-01 17:30:00,12.909001
2017-01-01 17:45:00,12.893981
2017-01-01 18:00:00,12.908145
2017-01-01 18:15:00,12.891329
2017-01-01 18:30:00,12.914349
2017-01-01 18:45:00,12.914128
2017-01-01 19:00:00,12.869987
2017-01-01 19:15:00,12.843765
2017-01-01 19:30:00,12.856222
2017-01-01 19:45:00,12.861322
2017-01-01 20:00:00,12.778486
2017-01-01 20:15:00,12.761316
2017-01-01 20:30:00,12.774189
2017-01-01 20:45:00,12.81658
2017-01-01 21:00:00,12.766733
2017-01-01 21:15:00,12.774793
2017-01-01 21:30:00,12.723351
2017-01-01 21:45:00,12.667752
2017-01-01 22:00:00,12.525712
2017-01-01 22:15:00,12.490366
2017-01-01 22:30:00,12.477605
2017-01-01 22:45:00,12.406104
2017-01-01 23:00:00,12.313122
2017-01-01 23:15:00,12.212882
2017-01-01 23:30:00,12.182016
2017-01-01 23:45:00,12.06698
2017-01-02 00:00:00,12.111206
2017-01-02 00:15:00,12.094063
2017-01-02 00:30:00,12.04829
2017-01-02 00:45:00,12.000329
2017-01-02 01:00:00,11.983724
2017-01-02 01:15:00,11.93292
2017-01-02 01:30:00,11.892487
2017-01-02 01:45:00,
2017-01-02 02:00:00,11.912165
2017-01-02 02:15:00,11.952337
2017-01-02 02:30:00,11.893076
2017-01-02 02:45:00,11.82431
2017-01-02 03:00:00,11.820923
2017-01-02 03:15:00,11.862033
2017-01-02 03:30:00,11.890956
2017-01-02 03:45:00,11.909746
2017-01-02 04:00:00,11.995968
2017-01-02 04:15:00,12.038739
2017-01-02 04:30:00,12.116552
2017-01-02 04:45:00,12.072228
2017-01-02 05:00:00,12.143689
2017-01-02 05:15:00,12.086906
2017-01-02 05:30:00,11.979943
2017-01-02 05:45:00,11.988779
2017-01-02 06:00:00,12.164182
2017-01-02 06:15:00,12.220683
2017-01-02 06:30:00,12.301901
2017-01-02 06:45:00,12.312131
2017-01-02 07:00:00,12.292408
2017-01-02 07:15:00,12.286327
2017-01-02 07:30:00,12.310498
2017-01-02 07:45:00,12.343942
2017-01-02 08:00:00,12.318384
2017-01-02 08:15:00,12.296477
2017-01-02 08:30:00,12.284794
2017-01-02 08:45:00,12.287397
2017-01-02 09:00:00,12.307281
2017-01-02 09:15:00,12.373563
2017-01-02 09:30:00,12.334542
2017-01-02 09:45:00,12.338963
2017-01-02 10:00:00,12.352601
2017-01-02 10:15:00,12.380941
2017-01-02 10:30:00,12.377158
2017-01-02 10:45:00,12.378978
2017-01-02 11:00:00,12.353944
2017-01-02 11:15:00,12.339278
2017-01-02 11:30:00,12.350042
2017-01-02 11:45:00,12.34367
2017-01-02 12:00:00,12.354817
2017-01-02 12:15:00,12.396343
2017-01-02 12:30:00,12.401425
